St_Name,state_abbr,Total Incarceration Rate,White Incarceration Rate,Black Incarceration Rate,Incarceration Ratio: White to Total,Incarceration Ratio:  Black to Total,Incarceration Ratio: Black to White
Alabama,AL,501,354,1014,0.71,2.02,2.87
Arizona,AZ,479,343,1696,0.72,3.54,4.95
Arkansas,AR,566,450,1486,0.79,2.62,3.3
California,CA,257,143,1349,0.56,5.25,9.45
Colorado,CO,277,171,1244,0.62,4.49,7.29
Connecticut,CT,274,119,1172,0.43,4.27,9.87
Delaware,DE,490,260,1396,0.53,2.85,5.38
Florida,FL,377,282,1187,0.75,3.15,4.21
Georgia,GA,442,314,837,0.71,1.89,2.67
Idaho,ID,492,440,2265,0.89,4.61,5.15
Illinois,IL,222,115,857,0.52,3.86,7.48
Indiana,IN,366,272,1206,0.74,3.29,4.44
Iowa,IA,269,205,1870,0.76,6.94,9.13
Kansas,KS,291,218,1465,0.75,5.04,6.72
Kentucky,KY,413,375,1088,0.91,2.63,2.9
Louisiana,LA,560,329,1159,0.59,2.07,3.52
Maine,ME,116,101,929,0.87,7.99,9.2
Maryland,MD,246,112,594,0.46,2.41,5.28
Massachusetts,MA,88,53,383,0.60,4.36,7.28
Michigan,MI,320,185,1205,0.58,3.77,6.53
Minnesota,MN,141,84,763,0.60,5.41,9.09
Mississippi,MS,584,386,960,0.66,1.64,2.48
Missouri,MO,381,304,1137,0.80,2.98,3.74
Montana,MT,400,327,2173,0.82,5.43,6.64
Nebraska,NE,287,187,1698,0.65,5.92,9.1
Nevada,NV,333,259,1135,0.78,3.40,4.39
New Hampshire,NH,155,144,813,0.93,5.24,5.66
New Jersey,NJ,135,56,661,0.41,4.88,11.85
New Mexico,NM,244,182,1004,0.74,4.11,5.51
New York,NY,151,64,534,0.42,3.54,8.32
North Carolina,NC,280,183,677,0.65,2.42,3.7
North Dakota,ND,218,153,758,0.70,3.47,4.96
Ohio,OH,383,244,1348,0.64,3.52,5.51
Oklahoma,OK,567,439,2186,0.77,3.85,4.99
Oregon,OR,314,307,1670,0.98,5.32,5.44
Pennsylvania,PA,287,169,1259,0.59,4.39,7.46
Rhode Island,RI,205,115,1086,0.56,5.30,9.44
South Carolina,SC,310,184,704,0.59,2.27,3.83
South Dakota,SD,380,243,1398,0.64,3.68,5.76
Tennessee,TN,321,241,830,0.75,2.59,3.44
Texas,TX,463,385,1278,0.83,2.76,3.32
Utah,UT,183,140,1275,0.77,6.97,9.14
Vermont,VT,201,187,1622,0.93,8.09,8.66
Virginia,VA,354,247,1020,0.70,2.88,4.12
Washington,WA,180,149,854,0.83,4.76,5.73
West Virginia,WV,325,302,1321,0.93,4.07,4.38
Wisconsin,WI,344,190,2250,0.55,6.54,11.83
Wyoming,WY,368,333,2099,0.90,5.70,6.31
